GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demojava,com.stackroute.demojava.jacoco,CalculatorApp,0,30,0,4,0,9,0,7,0,5
demojava,com.stackroute.demojava,Player,60,0,0,0,16,0,9,0,9,0
demojava,com.stackroute.demojava,PlayerApp,113,0,6,0,22,0,5,0,2,0
demojava,com.stackroute.demojava,PlayerSortByName,9,0,0,0,2,0,2,0,2,0
demojava,com.stackroute.demojava,PlayerApp2,85,0,4,0,17,0,4,0,2,0
demojava,com.stackroute.demojava,Day,86,0,0,0,7,0,3,0,3,0
demojava,com.stackroute.demojava,DemoProperties,32,0,2,0,7,0,3,0,2,0
demojava,com.stackroute.demojava,PlayerSortById,19,0,4,0,6,0,4,0,2,0
demojava,com.stackroute.demojava,DemoEnum,58,0,5,0,13,0,6,0,3,0
demojava,com.stackroute.demojava,DemoProperties2,55,0,4,0,14,0,4,0,2,0
